JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6
Aperture: 2.00, Filter: 12.00
2453236.43867 99.999 9.999 99.999 9.999 -0.401 0.006 99.999 9.999 99.999 9.999 99.999 9.999
2453236.43904 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999
2453236.43942 -1.866 0.013 -0.408 0.006 -0.378 0.006 1.458 0.013 1.488 0.013 0.030 0.007
2453236.43979 99.999 9.999 99.999 9.999 -0.471 0.006 99.999 9.999 99.999 9.999 99.999 9.999
2453236.44016 -1.934 0.013 -0.474 0.006 -0.421 0.006 1.460 0.013 1.513 0.013 0.053 0.007
2453236.44053 -1.910 0.013 -0.463 0.006 -0.412 0.006 1.447 0.013 1.498 0.013 0.051 0.007
2453236.44091 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999
2453236.44128 -1.967 0.014 -0.520 0.006 -0.463 0.006 1.447 0.014 1.504 0.014 0.057 0.007
2453236.44166 99.999 9.999 -0.514 0.006 -0.456 0.006 99.999 9.999 99.999 9.999 0.058 0.007


2453236.44241 -1.886 0.013 -0.393 0.006 -0.420 0.006 1.493 0.013 1.466 0.013 -0.027 0.007
2453236.44278 -1.934 0.014 -0.449 0.006 -0.467 0.006 1.485 0.014 1.467 0.014 -0.018 0.007
2453236.44315 -1.856 0.013 -0.412 0.006 -0.388 0.006 1.444 0.013 1.468 0.013 0.024 0.007
2453236.44352 -1.896 0.013 -0.426 0.006 -0.431 0.006 1.470 0.013 1.465 0.013 -0.005 0.007




2453236.44464 -1.935 0.014 -0.465 0.006 -0.453 0.006 1.470 0.014 1.482 0.014 0.012 0.007


2453236.44539 -1.873 0.013 -0.448 0.006 -0.395 0.006 1.425 0.013 1.478 0.013 0.053 0.007
2453236.44576 -1.880 0.014 -0.414 0.006 -0.403 0.006 1.466 0.014 1.477 0.014 0.011 0.007
2453236.44613 -1.868 0.013 -0.380 0.006 -0.359 0.006 1.488 0.013 1.509 0.013 0.021 0.007
2453236.44650 -1.941 0.014 -0.466 0.006 -0.421 0.006 1.475 0.014 1.520 0.014 0.045 0.007
2453236.44689 -1.852 0.013 -0.389 0.006 -0.376 0.006 1.463 0.013 1.476 0.013 0.013 0.007
2453236.44726 -1.863 0.013 -0.391 0.006 -0.358 0.006 1.472 0.013 1.505 0.013 0.033 0.007
2453236.44763 -1.810 0.013 -0.364 0.006 -0.359 0.006 1.446 0.013 1.451 0.013 0.005 0.007
2453236.44801 -1.906 0.013 -0.496 0.006 -0.430 0.006 1.410 0.013 1.476 0.013 0.066 0.007
2453236.44838 -1.887 0.014 -0.413 0.006 -0.401 0.006 1.474 0.014 1.486 0.014 0.012 0.007
2453236.44875 -1.944 0.014 -0.460 0.006 -0.429 0.006 1.484 0.014 1.515 0.014 0.031 0.007
2453236.44912 -1.853 0.013 -0.378 0.006 99.999 9.999 1.475 0.013 99.999 9.999 99.999 9.999
2453236.44950 -1.822 0.013 -0.381 0.006 -0.357 0.006 1.441 0.013 1.465 0.013 0.024 0.007


2453236.45024 -1.837 0.013 -0.400 0.006 -0.352 0.006 1.437 0.013 1.485 0.013 0.048 0.007
2453236.45061 99.999 9.999 99.999 9.999 -0.361 0.006 99.999 9.999 99.999 9.999 99.999 9.999
2453236.45100 -1.864 0.014 -0.420 0.006 -0.373 0.006 1.444 0.014 1.491 0.014 0.047 0.007
2453236.45137 -1.911 0.014 -0.453 0.006 -0.413 0.006 1.458 0.014 1.498 0.014 0.040 0.007


2453236.45249 99.999 9.999 99.999 9.999 -0.348 0.006 99.999 9.999 99.999 9.999 99.999 9.999
2453236.45286 -1.880 0.013 -0.441 0.006 -0.403 0.006 1.439 0.013 1.477 0.013 0.038 0.007
2453236.45323 -1.837 0.013 -0.406 0.006 -0.359 0.006 1.431 0.013 1.478 0.013 0.047 0.007


2453236.45398 -1.895 0.013 -0.421 0.006 -0.407 0.006 1.474 0.013 1.488 0.013 0.014 0.007
2453236.45435 -1.841 0.013 -0.363 0.006 -0.365 0.006 1.478 0.013 1.476 0.013 -0.002 0.007
2453236.45472 -1.793 0.013 -0.331 0.006 -0.336 0.006 1.462 0.013 1.457 0.013 -0.005 0.007
2453236.45509 -1.837 0.014 -0.340 0.006 -0.336 0.006 1.497 0.014 1.501 0.014 0.004 0.007
2453236.45547 -1.787 0.013 -0.343 0.006 99.999 9.999 1.444 0.013 99.999 9.999 99.999 9.999
2453236.45584 -1.878 0.013 -0.427 0.006 -0.392 0.006 1.451 0.013 1.486 0.013 0.035 0.007


2453236.45659 -1.816 0.013 -0.334 0.006 -0.329 0.006 1.482 0.013 1.487 0.013 0.005 0.007
2453236.45697 99.999 9.999 99.999 9.999 -0.297 0.006 99.999 9.999 99.999 9.999 99.999 9.999


2453236.45771 -1.765 0.013 -0.279 0.006 -0.273 0.006 1.486 0.013 1.492 0.013 0.006 0.007


2453236.45846 -1.823 0.014 -0.337 0.006 -0.326 0.006 1.486 0.014 1.497 0.014 0.011 0.007
2453236.45883 -1.838 0.014 -0.338 0.006 -0.333 0.006 1.500 0.014 1.505 0.014 0.005 0.007
2453236.45920 -1.791 0.013 -0.352 0.006 -0.316 0.006 1.439 0.013 1.475 0.013 0.036 0.007
2453236.45957 99.999 9.999 -0.367 0.006 -0.325 0.006 99.999 9.999 99.999 9.999 0.042 0.007
2453236.45995 -1.812 0.013 -0.364 0.006 -0.326 0.006 1.448 0.013 1.486 0.013 0.038 0.007
2453236.46032 -1.835 0.014 -0.356 0.006 -0.325 0.006 1.479 0.014 1.510 0.014 0.031 0.007
2453236.46069 -1.778 0.013 -0.320 0.006 -0.284 0.006 1.458 0.013 1.494 0.013 0.036 0.007
2453236.46106 -1.743 0.013 -0.269 0.006 -0.270 0.006 1.474 0.013 1.473 0.013 -0.001 0.007
2453236.46145 -1.733 0.013 -0.278 0.006 -0.275 0.006 1.455 0.013 1.458 0.013 0.003 0.007
2453236.46182 -1.722 0.013 -0.289 0.006 -0.259 0.006 1.433 0.013 1.463 0.013 0.030 0.007
2453236.46219 -1.784 0.014 -0.278 0.006 -0.262 0.006 1.506 0.014 1.522 0.014 0.016 0.007
2453236.46256 -1.786 0.013 -0.342 0.006 -0.303 0.006 1.444 0.013 1.483 0.013 0.039 0.007


2453236.46331 -1.814 0.014 -0.322 0.006 -0.305 0.006 1.492 0.014 1.509 0.014 0.017 0.007
2453236.46368 -1.732 0.013 -0.300 0.006 -0.249 0.006 1.432 0.013 1.483 0.013 0.051 0.007


2453236.46443 -1.709 0.013 -0.245 0.006 -0.222 0.006 1.464 0.013 1.487 0.013 0.023 0.007
2453236.46480 -1.757 0.013 -0.285 0.006 -0.273 0.006 1.472 0.013 1.484 0.013 0.012 0.007
2453236.46517 99.999 9.999 99.999 9.999 -0.234 0.006 99.999 9.999 99.999 9.999 99.999 9.999


2453236.46593 -1.737 0.013 -0.289 0.006 -0.261 0.006 1.448 0.013 1.476 0.013 0.028 0.007




2453236.46705 -1.708 0.013 -0.220 0.007 -0.212 0.007 1.488 0.013 1.496 0.013 0.008 0.007


2453236.46779 -1.697 0.013 -0.245 0.007 -0.185 0.007 1.452 0.013 1.512 0.013 0.060 0.007
2453236.46816 99.999 9.999 99.999 9.999 -0.187 0.007 99.999 9.999 99.999 9.999 99.999 9.999
2453236.46854 -1.625 0.013 -0.170 0.007 -0.139 0.007 1.455 0.013 1.486 0.013 0.031 0.007
2453236.46891 -1.683 0.013 -0.193 0.007 -0.190 0.007 1.490 0.013 1.493 0.013 0.003 0.007


2453236.46965 -1.632 0.013 -0.163 0.007 -0.126 0.007 1.469 0.013 1.506 0.013 0.037 0.007
2453236.47003 99.999 9.999 99.999 9.999 -0.131 0.007 99.999 9.999 99.999 9.999 99.999 9.999
2453236.47041 -1.575 0.013 -0.149 0.007 -0.124 0.007 1.426 0.013 1.451 0.013 0.025 0.007
2453236.47078 99.999 9.999 -0.210 0.007 -0.157 0.007 99.999 9.999 99.999 9.999 0.053 0.007


